builder_raw,model_rows,first_year_min,first_year_max,sample_model
Bowman Yachts,2,1998,2000,STARLIGHT 46
Bowman Yachts (UK),1,1985,1985,BOWMAN 45
Bowman Yachts/John King Shipyard,1,1975,1975,BOWMAN 57/58
Bradwell/Trident Laminates Ltd. (UK),1,1973,1973,BRADWELL 18
Breehorn,3,1980,2013,BREEHORN 48
Bremer Marine (USA),1,1995,1995,BREMER 25
Brewers Boatyard (USA),1,1935,1935,SMALL POINT ONE-DESIGN
Brian Cory Boatbuilders Ltd. (UK),1,1970,1970,LEISURE 18
Bristol Boat Co. (USA),1,2010,2010,HERRESHOFF 20
Bristol Yachtbuilding Co. (USA),1,1940,1940,BARNACLE 34
Bristol Yachts Inc. (USA),11,1966,1982,BRISTOL 40
"Bristol Yachts, Inc. (USA)",1,1966,1966,BRISTOL 27
Bristol Yachts/Sailstar Boats (USA),1,1964,1964,BRISTOL 24 CORSAIR (SAILSTAR)
Bristol Yachts/Triangle Marine Eng. Ltd.,1,1998,1998,HADLEY 27
Britton Yacht Corp./Tartan Marine (USA),1,1982,1982,TANGENT ONE (TARTAN)
Broadblue Catamarans Ltd.,1,2005,2005,BROADBLUE 385
Broderna Ohlson AB (SWE),1,1970,1970,OHLSON 29
Brofjordens Marin (DEN),1,1976,1976,APHRODITE 30
Bruce Hopwood Yachts Ltd (NZ),1,1976,1976,MARAUDER 8.4
Bruckmann Yachts (CAN),2,1984,2004,BRUCKMANN 42 CRUISING
Bruckmann/C&C Yachts,1,1974,1974,C&C 3/4 TON
Bruynzeel Fabrieken (NL),1,1940,1940,VALK (FALCON)
Buchwald Yachts (DEN),1,1982,1982,MOTIVA 33
Buckler Boat Co. (UK),1,1972,1972,BUCKLER 24 MS
Burger Boat Co. (USA),1,1947,1947,RHODES 77
Burnes Shipyard  (UK),1,1968,1968,NICHOLSON 26
Burns Boatyard (UK) among others,1,1956,1956,SOUTH COAST ONE DESIGN
Butler Moldings Ltd. (UK),1,1968,1968,ACHILLES 24
Buzzards Bay Boats Inc. (USA),1,1975,1975,CARTWRIGHT 40
Börjesson Brothers  (SWE),1,1986,1986,SCANMAR 40
Børresen Bådebyggeri,1,1946,1946,KNARR
C & L Marine (Taiwan),1,1977,1977,EXPLORER 45 (HUNTINGFORD)
C & S Boyd (IE),1,1973,1973,PUPPETEER 22
C&B Marine (USA),1,1980,1980,FARR 44 (1980)
C&C Fiberglass Components,1,2012,2012,SPARKMAN & STEPHENS 30 (2012)
C&C International,1,1992,1992,SR 27
C&C Yachts,32,1970,2014,C&C 43-2
C&C Yachts (CAN),3,1971,1973,C&C 39
C&C Yachts (USA),1,1977,1977,MEGA 30 (C&C) FK
C&L Marine,1,1979,1979,PETERSON 36
C&L Marine Corp (TAIWAN),1,1978,1978,C&L 36
C. E. Ryder (USA),5,1960,1978,SOUTHERN CROSS 31
C.E. Ryder Corp. (USA),1,1981,1981,SOUTHERN CROSS 39
C.S. Yachts Ltd. (CAN),1,1987,1987,CS 50
Cabo Rico,1,2005,2005,CABO RICO 42 PILOT
Cabo Rico (CR),1,1995,1995,NORTHEAST 400
"Cabo Rico Custom Yachts, Inc.",2,1984,1985,CAMBRIA 44 CB
"Cabo Rico Custom Yachts, Inc. (CR)",1,1976,1976,CABO RICO 38 PH
Cabo Rico Yachts (COSTA RICA),1,1998,1998,CABO RICO 40/42
"Cabo Rico Yachts, Inc.",1,1988,1988,CABO RICO 36
Cabrasmar (BRA),1,1980,1980,VELAMAR 38
Cafe Yachts (FRA),2,2006,2008,CAFÉ 27
Cal-Boats (USA),1,1973,1973,CAL 35 CRUISE
Calgan Marine (CAN),1,1975,1975,CROWN 34
Caliber Yachts (USA),4,1981,1990,CALIBER 33
Cambria,1,1986,1986,CAMBRIA 48
Camper & Nicholson,3,1974,1979,NICHOLSON 345
Camper & Nicholson Ltd. (UK),5,1966,1978,NICHOLSON 1/2 TON
Camper & Nicholson Ltd.(UK),3,1969,1976,NICHOLSON 44
Camper & Nicholson/Halmatic Ltd. (UK),1,1962,1962,NICHOLSON 32
Camper and Nicholson Ltd. (UK),2,1938,1984,BEMBRIDGE REDWING
Canadian Sailcraft (CAN),5,1971,1985,CS 36
Cantiere Alaver (ITA),1,1979,1979,IDEA 11
Cantiere Del Pardo,2,2008,2019,GRAND SOLEIL 42 LC
Cantiere del Pardo,6,1990,2017,GRAND SOLEIL 48 PERFORMANCE
Cantiere del Pardo (ITA),5,1972,2020,GRAND SOLEIL 52 (FRERS)
Cantiere Navale 71 (ITA),1,1974,1974,IMPALA 41
Cantiere Navale Gino D’Este (ITA),1,1955,1955,HISPANIOLA 38
Cantiere Sartini (ITA),1,1972,1972,ARLECCHINO 1/4 TON
Cantiere Zuanelli (ITA),3,1989,1999,ZUANELLI 30
Cantieri Ambrose,1,1975,1975,SCIA 50
Cantieri Barberis (ITA),1,1978,1978,SHOW 27
Cantieri Dullia (ITA),1,1980,1980,PUPA D36
Cantieri Navali D'Este (ITA),2,1995,1999,ESTE 24
Canvey Yacht Builders (UK),1,1992,1992,JAGUAR 265
Cape Cod Shipbuilding,4,1940,1961,MERCURY 15 FK (CAPE COD )
Cape Cod Shipbuilding (USA),4,1929,1964,GEMINI (CAPE COD)
Cape Cod Shipbuilding Co. (USA),1,1971,1971,CAPE COD CAT
Cape Dory (USA),1,1977,1977,CAPE DORY 27
Cape Dory Yachts (USA),8,1974,1986,CAPE DORY 40
Cape Fear Yacht Work (USA),1,2001,2001,CAPE FEAR 38
Cape Foulweather Boats (USA),1,1974,1974,BAHAMA 25 (CAPE FOULWEATHER)
Cape Marine/Windward Marine Ltd. (CAN),1,1980,1980,COAST 34
Cape Performance Sailing (South Africa),1,2017,2017,CAPE 31
Cape Yachts Ltd (HK),1,1970,1970,CAPE CARIB 33
Capital Yachts Inc. (USA),4,1970,1982,NEWPORT 41
Capital Yachts Inc.(USA),1,1971,1971,GULF 39
Capson Marine/Precision Boat Works (USA),1,1977,1977,SEAFORTH 24
Captiva Yachts (USA),2,1980,1981,CAPTIVA 35
Caribbean Sailing Yachts,1,1978,1978,CSY 37
Carl N. Beetle (USA),1,1939,1939,NEW BEDFORD 35
Carol Marine,1,1991,1991,TRIPP 36
Carroll Marine,3,1986,1990,FRERS 33
Carroll Marine (USA),3,1984,1996,NELSON MAREK 46
Casey Boat Building Co. (USA),1,1939,1939,SAKONNET ONE-DESIGN
Cat Ketch Corp.,1,1979,1979,HERRESHOFF 31 (CAT KETCH 31)
Cat Ketch Corp. (USA),1,1985,1985,HERRESHOFF 45 CAT KETCH
Catalina Yachts,6,1988,2016,CATALINA 309
Catalina Yachts (USA),26,1971,2024,CATALINA 16.5K
Catana (FRA),9,1994,2024,OCEAN CLASS (CATANA)
Catana (FRA) for Bali,1,2026,2026,BALI 5.2
Catana Catamarans (FRA),1,2010,2010,CATANA 47
Catana Catamrans,1,2015,2015,BALI 4.3
Catana Chantier (FRA),1,1992,1992,CATANA 44
Cavalier Yachts,1,1978,1978,CAVALIER 26
